차나, 81, 187
파카, 93, 157
라라, 63, 186
사바, 92, 185
다카, 97, 188
다다, 41, 148
다나, 58, 142
자바, 88, 150
사가, 64, 186
아나, 92, 183
다타, 77, 143
파가, 45, 144
마카, 58, 191
차다, 94, 159
아자, 81, 163
타하, 89, 187
다타, 41, 140
타차, 65, 161
카타, 70, 155
마카, 93, 161
카자, 43, 152
타바, 58, 153
아다, 40, 192
라나, 86, 186
자가, 84, 197
라마, 79, 151
아바, 53, 140
마다, 47, 189
다아, 51, 153
파다, 85, 196
바바, 48, 187
바라, 77, 199
타라, 95, 176
파바, 93, 196
사가, 84, 189
나파, 60, 176
가바, 44, 162
나하, 62, 166
나가, 87, 183
파타, 82, 173
사다, 72, 149
타카, 98, 149
타카, 59, 183
다파, 70, 174
아자, 62, 186
가가, 47, 149
마마, 41, 146
하나, 71, 152
마차, 86, 182
차바, 52, 176
나차, 75, 171
자타, 72, 182
가마, 42, 189
하파, 72, 141
마다, 63, 142
가가, 54, 185
다다, 51, 198
나다, 81, 165
카다, 78, 170
사가, 40, 151
아라, 45, 184
다가, 74, 164
다아, 58, 175
나차, 49, 150
파자, 46, 157
마나, 71, 145
나카, 75, 158
파타, 64, 150
라카, 67, 168
라마, 61, 198
타타, 72, 197
마나, 54, 182
나가, 41, 180
라하, 50, 199
라나, 68, 184
라타, 51, 186
바자, 90, 192
라다, 69, 175
하사, 95, 158
타라, 83, 179
바마, 85, 191
자카, 78, 142
파라, 78, 159
자파, 76, 165
아하, 69, 143
마사, 58, 175
가아, 61, 153
하자, 47, 168
바라, 57, 150
파차, 48, 154
가라, 86, 172
하하, 85, 144
다카, 53, 148
마마, 90, 151
라파, 85, 163
하차, 44, 154
라차, 60, 170
나바, 70, 173
파카, 63, 152
카파, 97, 166
아나, 64, 145
라사, 66, 170
사바, 45, 164
아하, 65, 197
마마, 63, 161
바차, 61, 182
라바, 62, 185
자나, 48, 164
카바, 95, 160
다나, 88, 167
파자, 44, 156
차타, 94, 153
자사, 92, 181
사카, 95, 172
다바, 91, 152
바하, 83, 143
바가, 63, 166
아사, 83, 186
마라, 56, 187
타자, 84, 162
하파, 68, 182
가다, 61, 177
바차, 53, 189
나가, 50, 195
사타, 60, 140
파나, 94, 188
나마, 42, 141
자라, 65, 155
타라, 57, 192
마아, 43, 165
가카, 50, 197
바카, 87, 195
다타, 66, 145
자아, 40, 151
하자, 51, 191
라바, 74, 167
바바, 78, 174
카나, 77, 169
다사, 44, 150
바바, 70, 153
타하, 54, 152
다카, 49, 159
마카, 59, 161
타자, 53, 175
가타, 56, 154
라나, 75, 162
마아, 82, 156
가아, 88, 172
하차, 78, 184
나가, 56, 173
나다, 60, 158
라사, 78, 185
파가, 72, 160
다마, 41, 164
아하, 67, 164
하차, 86, 189
마가, 87, 146
아가, 63, 147
카카, 49, 142
마파, 57, 170
바라, 59, 159
가라, 95, 194
바나, 48, 142
나타, 82, 170
마카, 71, 188
하라, 73, 171
마파, 41, 184
파사, 82, 199
자타, 97, 141
파타, 67, 169
카카, 70, 158
사아, 46, 173
파자, 73, 198
아라, 51, 145
자라, 95, 183
타바, 75, 190
마아, 72, 140
파나, 73, 178
하다, 44, 175
다타, 84, 191
하아, 69, 196
가나, 69, 197
파타, 43, 182
아아, 80, 151
바라, 93, 145
나라, 59, 142
나마, 65, 144
자차, 92, 177
하하, 94, 164
카카, 67, 192
나차, 69, 178
다나, 53, 147
파바, 82, 194
차하, 43, 181
카라, 55, 147
자파, 40, 185
카차, 85, 142
바타, 82, 191
타타, 77, 179
아바, 74, 147
라아, 76, 165
파카, 79, 153
사사, 99, 161
하마, 43, 175
라파, 73, 142
차하, 40, 191
마파, 90, 175
다가, 72, 183
카바, 79, 155
하타, 91, 184
차차, 91, 199
사카, 71, 180
차가, 64, 162
차사, 70, 184
타나, 96, 165
아타, 80, 151
사다, 46, 187
아마, 70, 158
나다, 82, 191
나아, 66, 182
카사, 55, 167
가사, 54, 148
